エアコン,AC
アクション,action
アクター,actor
アフター,after
アニメ,animation
アンサー,answer
アパート,apartment
アポ,appointment
アテンダント,attendant
オーディエンス,audience
オート,auto
ベビー,baby
バック,back
ボール,ball
ボール,ballpoint
バーゲン,bargain
バリア,barrier
バッティング,batting
ベッド,bed
ベル,bell
バイ,bicycle
バイク,bike
ブレザー,blazer
ブルマ,bloomers
ブック,book
ボックス,box
ブレーキ,brake
ビル,building
ビジネス,business
バター,butter
キャベツ,cabbage
キャビン,Cabin
ケーキ,cake
グコール,call
カメラマン,cameraman
キャンペーン,campaign
キャップ,cap
カー,car
カシュー,cashew
キャッチ,catch
セレブ,celebrity
センター,centre
チアリーダー,cheerleader
チアリーディング,cheerleading
サイダー,cider
クレーム,claim
クラブ,club
コースター,coaster
コート,coat
コイン,coin
コラボ,Collaborations
カラ,collar
コミカライズ,comic
コミ,communication
カンパニー,company
コン,complex
コンピューター,computer
コンビニ,convenience
コピー,copy
コース,course
カバー,cover
クリーム,cream
コロッケー,croquette
クリスタル,crystal
カンニング,cunning
カップ,cup
デー,Day
デコレーション,decoration
デリバリー,delivery
デパート,department
デスク,desk
ディスプレイ,display
ドラマ,drama
ドリフト,drift
ドライブ,drive
ドライバー,driver
ダンプ,dump
ダスト,dust
エレベーター,elevator
エンド,end
エスカレーター,escalator
ファンタジック,fantasy
ファッション,fashion
フェッチ,fetch
～フェチ,fetish
ファイト,fight
ファイナル,final
フライ,fly
フライング,flying
アメフト,football
フォア,four
フリー,free
フリー,free
フリー,free
フリー,free
フライド,fried
フロント,front
フライ,fry
ギャラリー,gallery
ゲーム,game
ガソリン,gasoline
ジェンダー,gender
ギブ,give
グラス,glass
ゴールデン,golden
グロ,grotesque
ガード,guard
ガイド,guide
ハッカー,hacker
ハンバーグ,hamburger
ハンカチ,handkerchief
ハンドル,handle
ハッピー,happy
ヘルス,health
ハイ,high
ヒップ,Hips
ホルダー,holder
ホーム,home
ホットケーキ,hotcake
ホッチキス,Hotchkiss
ホテル,hotel
アワ,hour
ハウス,house
アイス,ice
アイドル,idol
イラスト,illustration
イメージ,image
イン,in
インフレ,inflation
ジェット,jet
ジュース,juice
ジャンパー,jumper
カラオケ,karaoke
キーパー,keeper
キー,key
キーボード,keyboard
キス,kiss
キッチン,kitchen
ランドリー,laundry
ラムネ,lemonade
ライフライン,lifeline
リンク,link
ライブ,live
ロッカー,locker
ロス,loss
ラブ,love
ミシン,machine
マガジン,magazine
マジック,magic
メール,mail
メーカー,maker
マン,man
マニア,mania
マンション,mansion
マーク,mark
マス,mass
メンバー,member
メーター,meter
ミルク,milk
マイナス,minus
ミラー,mirror
モバイル,mobile
モン,monster
ムーディ,moody
モーニン,morning
モーテル,motel
マグ,mug
マイ〜,my
ネーム,name
ネック,neck
ネット,net
ニューハーフ,new-half
ノート,note
ナンバ,number
ナッツ,nut
オフ,off
ワン,one
オンリー,only
オープン,open
アウト,out
オーバー,over
パネリスト,panelist
パンツ,pants
ペーパー,paper
パターン,pattern
ペン,pen
パーマ,permanent
ピース,piece
パイン,pineapple
プレート,plate
ホーム,platform
プレ,play
プラス,plus
ポケ,pocket
ポスト,post
ポテト,potato
プロ,professional
パンク,puncture
リーチ,reach
リード,read
リサイクル,recycle
リフォーム,reform
リモコン,remote
リニューアル,renewal
リストラ,restructuring
リターン,return
リベンジ,revenge
ライ,right
ライバル,rival
ロード,road
ルーム,room
ロープ,rope
ラン,run
ランニング,running
アールブイ,RV
セラ,sailor
サラリー,salary
サンドバッグ,sandbag
サンドイッチ,sandwich
シール,seal
センス,sense
サービス,service
セックス,sex
シャツ,shirt
ショップ,shop
サイド,side
サイン,sign
サイズ,size
スケボー,skateboard
スケルトン,skeleton
スキー,ski
スカイ,sky
スマート,smart
スムーズ,smooth
ソフト,soft
ソフト,software
ソーラー,solar
スペル,spell
スピン,spin
スタンド,stand
スタート,start
ハンバーグ,steak
デパート,store
ストーブ,stove
スイート,suite
スーツ,suits
ウーパールーパー,super
スーパー,supermarket
システム,system
タレント,talent
テープ,tape
ティーンエージャー,Teenager
テレフォン,telephone
テレビ,television
テンション,tension
テスト,test
タイム,time
タイムリー,timely
トイレ(ット),toilet
タッチ,touch
タウン,town
トレーナー,trainer
トレーニング,training
トランプ,trumps
ニート,unemployed
アップ,up
〜アップ,upgrade
ヴァージン,virgin
ウェー,way
ウィーク,week
ホワイト,White
ワープ,word
ヨット,yacht
エール,yell